Area Code,Block Number,Field,Structure Name,Structure Number,Struc Type Code,Authority Type,Authority Number,Authority Status,Bus Asc Name,Complex Id Num,Maj Struc Flag,Install Date,Removal Date,Site Clear Date,District Code,Heliport Flag,Lease Number,Water Depth (feet),INCs,Latitude,Longitude,Nad Year Cd,Proj Code,Ptfrm X Location,Ptfrm Y Location,Surf N S Dist,Surf N S Code,Surf E W Dist,Surf E W Code,Attended 8 Hr,Manned 24 Hr
BA,  400,BA413,A,1,WP,Right-of-Use and Easement,G21929,TERMIN,Diamond Shamrock Offshore Partners Limited Partnership,10487,N,1/1/1989,9/13/1999,9/27/1999,4,Y,G09013,63,6,28.597849,-95.486825,27,71,3127204.81,294909,1869,S,111,E,N,N
BA,  399,BA399,5,1,CAIS,OCS Lease,G07218,TERMIN,Devon Louisiana Corporation,10555,N,1/1/1991,9/6/2003,9/24/2003,4,N,G07218,62,5,28.630527,-95.476945,27,71,3130015.81,306880,2000,N,2700,W,N,N
BA,A 105,BA105A,B,1,FIXED,OCS Lease,G01757,PROD,Fieldwood Energy IV LLC,10572,Y,12/30/1994,,,4,Y,G01757,188,27,27.882169,-95.965506,27,71,2980407.81,30478,6718,S,4348,E,Y,Y
BA,  365,BA364,A,1,FIXED,Right-of-Way,G15662,EXP,Walter Oil & Gas Corporation,10573,Y,10/12/1992,9/11/2009,6/21/2010,4,Y,,66,13,28.701613,-95.340734,27,71,3172882.81,334054,6506,N,1953,E,N,N
BA,A  76,BA076A,C,1,WP,OCS Lease,G26469,TERMIN,"Tarpon Operating & Development, L.L.C.",2049,Y,7/4/2007,7/29/2012,8/10/2013,4,Y,G26469,165,7,27.97128605,-95.92233581,27,71,2993499.81,63236,7796,S,7096,E,,N
BA,  544,BA544,A,1,FIXED,OCS Lease,G10226,TERMIN,ATP Oil & Gas Corporation,28006,Y,7/6/1994,8/23/2016,9/12/2016,4,Y,G10226,118,43,28.254571,-95.58529,27,71,3099264.81,169216,2896,S,3629,W,N,N
BA,  494,BA494,CAIS.#3,1,FIXED,OCS Lease,G06071,TERMIN,Apache Corporation,28060,N,1/7/1997,5/27/2005,10/14/2005,4,N,G06071,84,1,28.41377498,-95.71540893,27,71,3055762.81,225878,3802,N,8193,E,N,N
BA,  451,BA451,A,1,FIXED,OCS Lease,G03935,TERMIN,Medco Energi US LLC,10190,Y,1/1/1981,11/4/2012,12/13/2012,4,Y,G03935,68,20,28.493583,-95.724447,27,71,3052045.81,254802,6558,N,3930,W,N,N
BA,  578,BA578,A,2,FIXED,OCS Lease,G04557,TERMIN,Brock Minerals Corporation,10201,Y,1/1/1982,6/19/2002,7/23/2002,4,Y,G04557,123,5,28.207738,-95.618914,27,71,3088935.81,151880,1400,S,6700,E,N,N
BA,A  39,BA039A,A,1,FIXED,OCS Lease,G04559,TERMIN,"Pioneer Natural Resources USA, Inc.",10202,Y,1/1/1982,8/20/2005,9/9/2006,4,Y,G04559,140,20,28.105918,-95.691984,27,71,3066455.81,114200,4600,N,2500,W,N,Y
BA,  399,BA399,3,1,CAIS,OCS Lease,G07218,TERMIN,Devon Louisiana Corporation,10510,N,1/1/1990,9/10/2003,9/22/2003,4,N,G07218,60,5,28.63062324,-95.45866668,27,71,3135875.81,307092,1788,N,7280,E,N,N
BA,  399,BA399,1,1,CAIS,OCS Lease,G07218,TERMIN,Devon Louisiana Corporation,10515,N,1/1/1990,9/8/2003,9/25/2003,4,N,G07218,60,4,28.62623,-95.443615,27,71,3140750.81,305642,3238,N,2405,E,N,N
BA,  376,BA376,A-Aux,2,FIXED,OCS Lease,G07215,TERMIN,"EPL Oil & Gas, LLC",10521,N,3/20/2010,7/28/2015,8/15/2015,4,N,G07215,56,2,28.66654133,-95.39486637,27,71,3155930.81,320770,3950,N,3065,E,N,N
BA,A  17,WILD,B,1,FIXED,OCS Lease,G23166,TERMIN,"Apache Shelf, Inc.",1322,N,8/26/2003,8/3/2013,8/7/2013,4,Y,G23166,140,2,28.18099747,-95.48295969,27,71,3133001.81,143453,7027,N,5686,W,N,N
BA,  491,BA491,4,1,CAIS,OCS Lease,G06069,TERMIN,Fieldwood Energy LLC,1484,N,9/4/2005,11/6/2021,11/8/2021,4,N,G06069,70,10,28.39258928,-95.87933736,27,71,3003289.81,216735,2895,S,2694,W,N,N
BA,A  70,BA070A,A,1,FIXED,OCS Lease,G02663,TERMIN,GOM Shelf LLC,10061,Y,1/1/1975,8/24/2014,12/1/2014,4,Y,G02663,155,41,28.014574,-95.877512,27,71,3007545.81,79354,7766,N,6950,W,N,N
BA,  504,BA501,A,1,FIXED,OCS Lease,G03469,TERMIN,Seneca Resources Corporation,10150,Y,1/1/1980,3/13/2000,5/16/2000,4,N,G03469,120,17,28.363789,-95.355173,27,71,3172083.81,211143,2697,N,2752,E,N,N
BA,A  20,BA020A,JA,1,FIXED,OCS Lease,G03472,TERMIN,Shell Offshore Inc.,10180,Y,1/1/1979,8/2/1994,8/2/1994,4,N,G03472,129,2,28.174402,-95.600755,27,71,3095134.81,139934,5294,S,501,E,N,N
BA,A   7,BA007A,A,1,FIXED,OCS Lease,G04558,TERMIN,"Pioneer Natural Resources USA, Inc.",10189,Y,1/1/1981,8/17/2005,8/23/2006,4,Y,G04558,122,25,28.26155,-95.476177,27,71,3134303.81,172794,6474,S,6988,W,N,N
BA,A  47,BA070A,B,2,FIXED,OCS Lease,G03940,TERMIN,Fieldwood Energy LLC,10203,Y,1/1/1982,7/14/2017,1/15/2018,4,Y,G03940,140,9,28.057807,-95.871655,27,71,3009014.81,95119,7841,N,7421,E,Y,N
